model,accuracy,macro_f1,weighted_f1
logistic_regression,0.8414041023472193,0.7372817130708809,0.8498645817367171
linear_svc,0.8578980757031085,0.7337073118680544,0.8567555600092144
multinomial_nb,0.8449989426940157,0.659725530414503,0.8318848357627594
complement_nb,0.7919221822795517,0.6716159287006503,0.8048329845268578
